c,x,y,z,c2,x2,y2,z2
#087c33,0.279,-0.36,0.486,,,,
#d52000,0.131,0.825,0.835,,,,
#057c39,0.259,-0.388,0.486,,,,
#d8ac0d,0.582,0.543,0.847,,,,
#017c37,0.267,-0.401,0.486,,,,
#002060,-0.242,-0.288,0.376,,,,
#016025,0.226,-0.296,0.376,,,,
#0060c5,-0.395,-0.664,0.773,,,,
#deac05,0.614,0.589,0.871,,,,
#0260cd,-0.424,-0.674,0.804,,,,
#ca2000,0.131,0.781,0.792,,,,
#b62308,0.11,0.673,0.714,,,,
#a42008,0.098,0.604,0.643,,,,
#ac2004,0.114,0.649,0.675,,,,
#2f2a0d,0.104,0.084,0.184,,,,
#bb2308,0.11,0.693,0.733,,,,
#ee7b6e,0.053,0.499,0.933,,,,
#ab200c,0.082,0.618,0.671,,,,
#a0200c,0.082,0.575,0.627,,,,
#dcac01,0.627,0.587,0.863,,,,
#d72100,0.135,0.832,0.843,,,,
#b8230c,0.094,0.668,0.722,,,,
#c32008,0.098,0.727,0.765,,,,
#e3b01a,0.555,0.56,0.89,,,,
#d02100,0.135,0.804,0.816,,,,
#e2b00e,0.597,0.579,0.886,,,,
#002160,-0.239,-0.291,0.376,,,,
#00511b,0.204,-0.243,0.318,,,,
#00531c,0.208,-0.25,0.325,,,,
#cd2100,0.135,0.793,0.804,,,,
#ca2100,0.135,0.781,0.792,,,,
#b72204,0.123,0.691,0.718,,,,
#be2204,0.123,0.719,0.745,,,,
#bd2204,0.123,0.715,0.741,,,,
#b42204,0.123,0.679,0.706,,,,
#bc2208,0.106,0.698,0.737,,,,
#bb2208,0.106,0.694,0.733,,,,
#b22208,0.106,0.658,0.698,,,,
#b12208,0.106,0.654,0.694,,,,
#b82208,0.106,0.682,0.722,,,,
#c62104,0.119,0.751,0.776,,,,
#002264,-0.25,-0.302,0.392,,,,
#003f8b,-0.295,-0.458,0.545,,,,
#002e7c,-0.298,-0.385,0.486,,,,
#bc7b02,0.459,0.567,0.737,,,,
#b97b0d,0.419,0.529,0.725,,,,
#b87b0f,0.411,0.52,0.722,,,,
#b57b08,0.435,0.521,0.71,,,,
#ae2208,0.106,0.642,0.682,,,,
#003ea7,-0.401,-0.518,0.655,,,,
#a9220c,0.09,0.609,0.663,,,,
#00236c,-0.275,-0.322,0.424,,,,
#005e28,0.209,-0.304,0.369,,,,
#005f28,0.212,-0.306,0.373,,,,
#987b2e,0.287,0.301,0.596,,,,
#003ca1,-0.386,-0.5,0.631,,,,
#014cac,-0.372,-0.558,0.675,,,,
#004cb0,-0.387,-0.572,0.69,,,,
#b5220b,0.094,0.66,0.71,,,,
#006524,0.247,-0.309,0.396,,,,
#001c4d,-0.187,-0.237,0.302,,,,
#002772,-0.284,-0.345,0.447,,,,
#df2a14,0.09,0.791,0.875,,,,
#d29f00,0.587,0.578,0.824,,,,
#d29e0d,0.538,0.554,0.824,,,,
#006624,0.251,-0.312,0.4,,,,
#015a25,0.204,-0.283,0.353,,,,
#b62109,0.098,0.671,0.714,,,,
#007a39,0.253,-0.406,0.478,,,,
#297bcb,-0.314,-0.552,0.796,,,,
#217bd6,-0.357,-0.614,0.839,,,,
#006724,0.254,-0.314,0.404,,,,
#1d7bce,-0.327,-0.612,0.808,,,,
