c,x,y,z,c2,x2,y2,z2
#013a93,-0.341,-0.46,0.576,,,,
#003a9c,-0.374,-0.484,0.612,,,,
#0050ab,-0.355,-0.569,0.671,,,,
#edb901,0.674,0.634,0.929,,,,
#ecb901,0.674,0.629,0.925,,,,
#ebb900,0.677,0.626,0.922,,,,
#eab90d,0.631,0.594,0.918,,,,
#e9b902,0.668,0.612,0.914,,,,
#e7b905,0.656,0.595,0.906,,,,
#e4b918,0.588,0.542,0.894,,,,
#e3b91f,0.563,0.523,0.89,,,,
#e2b923,0.549,0.51,0.886,,,,
#003182,-0.31,-0.405,0.51,,,,
#df3922,0.094,0.735,0.875,,,,
#ce3922,0.094,0.668,0.808,,,,
#cc3928,0.07,0.639,0.8,,,,
#0052b6,-0.388,-0.599,0.714,,,,
#0e522a,0.154,-0.218,0.322,,,,
#0146af,-0.403,-0.551,0.686,,,,
#dfad0d,0.59,0.575,0.875,,,,
#0346ab,-0.388,-0.533,0.671,,,,
#044617,0.176,-0.19,0.275,,,,
#004ea9,-0.354,-0.56,0.663,,,,
#0a461f,0.148,-0.183,0.275,,,,
#0053ba,-0.4,-0.61,0.729,,,,
#0c532a,0.158,-0.229,0.325,,,,
#006e39,0.209,-0.378,0.431,,,,
#002570,-0.283,-0.336,0.439,,,,
#dfae0c,0.596,0.574,0.875,,,,
#0461b7,-0.338,-0.615,0.718,,,,
#007432,0.255,-0.377,0.455,,,,
#006d38,0.208,-0.373,0.427,,,,
#ddad05,0.616,0.581,0.867,,,,
#044eb1,-0.383,-0.56,0.694,,,,
#004cac,-0.372,-0.563,0.675,,,,
#097532,0.256,-0.337,0.459,,,,
#00752a,0.285,-0.359,0.459,,,,
#00131d,-0.04,-0.106,0.114,,,,
#0156b6,-0.374,-0.603,0.714,,,,
#10562e,0.155,-0.227,0.337,,,,
#004a1b,0.179,-0.228,0.29,,,,
#014aab,-0.375,-0.551,0.671,,,,
#046e39,0.208,-0.36,0.431,,,,
#0057ba,-0.386,-0.619,0.729,,,,
#015d27,0.208,-0.295,0.365,,,,
#006b30,0.229,-0.352,0.42,,,,
#025d2b,0.194,-0.299,0.365,,,,
#035dcb,-0.427,-0.658,0.796,,,,
#055d2b,0.193,-0.286,0.365,,,,
#e0af17,0.561,0.554,0.878,,,,
#095d2f,0.179,-0.277,0.365,,,,
#06397e,-0.267,-0.388,0.494,,,,
#043915,0.136,-0.157,0.224,,,,
#03399a,-0.369,-0.463,0.604,,,,
#02399a,-0.369,-0.468,0.604,,,,
#0139a1,-0.395,-0.488,0.631,,,,
#0048ae,-0.393,-0.558,0.682,,,,
#01682c,0.231,-0.331,0.408,,,,
#006824,0.258,-0.316,0.408,,,,
#036834,0.203,-0.34,0.408,,,,
#00883b,0.298,-0.442,0.533,,,,
#f2b801,0.675,0.662,0.949,,,,
#f0b803,0.667,0.648,0.941,,,,
#efb803,0.666,0.643,0.937,,,,
#ecb800,0.674,0.634,0.925,,,,
#e63817,0.135,0.8,0.902,,,,
#e5b81e,0.565,0.538,0.898,,,,
#e3b814,0.599,0.548,0.89,,,,
#e2b804,0.654,0.575,0.886,,,,
#e0381f,0.102,0.75,0.878,,,,
#de3829,0.062,0.707,0.871,,,,
#014711,0.198,-0.19,0.278,,,,
#dfaf03,0.63,0.589,0.875,,,,
#00571e,0.216,-0.264,0.341,,,,
#0047a5,-0.364,-0.535,0.647,,,,
#cd3820,0.098,0.671,0.804,,,,
#cb3821,0.094,0.66,0.796,,,,
#c83826,0.074,0.631,0.784,,,,
#00662e,0.218,-0.336,0.4,,,,
#0045b0,-0.41,-0.555,0.69,,,,
#d8a80e,0.567,0.553,0.847,,,,
#002663,-0.233,-0.31,0.388,,,,
#035424,0.185,-0.258,0.329,,,,
#003786,-0.304,-0.428,0.525,,,,
#0043a7,-0.384,-0.53,0.655,,,,
#007337,0.234,-0.385,0.451,,,,
#d0a802,0.604,0.537,0.816,,,,
#40b888,0.191,-0.43,0.722,,,,
#3eb885,0.203,-0.433,0.722,,,,
#3db885,0.203,-0.438,0.722,,,,
#d6a802,0.608,0.567,0.839,,,,
#d5a80a,0.579,0.546,0.835,,,,
#004196,-0.329,-0.488,0.588,,,,
#0b381b,0.11,-0.138,0.22,,,,
#03389a,-0.372,-0.461,0.604,,,,
#02389a,-0.373,-0.465,0.604,,,,
#01389d,-0.384,-0.476,0.616,,,,
#003896,-0.359,-0.466,0.588,,,,
#00316d,-0.233,-0.358,0.427,,,,
#d4a610,0.552,0.535,0.831,,,,
#c48a10,0.46,0.535,0.769,,,,
#efb701,0.67,0.65,0.937,,,,
#edb700,0.672,0.642,0.929,,,,
#ecb70a,0.637,0.616,0.925,,,,
#ebb700,0.671,0.632,0.922,,,,
#eab704,0.656,0.619,0.918,,,,
#e9b703,0.659,0.616,0.914,,,,
#e83715,0.139,0.816,0.91,,,,
#e7b704,0.654,0.604,0.906,,,,
#e5b703,0.656,0.595,0.898,,,,
#e43720,0.094,0.763,0.894,,,,
#e3b71f,0.558,0.529,0.89,,,,
#e23718,0.127,0.782,0.886,,,,
#0041aa,-0.402,-0.532,0.667,,,,
#dfb715,0.59,0.529,0.875,,,,
#0147b1,-0.407,-0.557,0.694,,,,
#006b24,0.269,-0.322,0.42,,,,
#015f31,0.181,-0.321,0.373,,,,
#0047a9,-0.378,-0.544,0.663,,,,
#cf371b,0.114,0.697,0.812,,,,
#cc371e,0.102,0.675,0.8,,,,
#ca371f,0.098,0.663,0.792,,,,
#0042aa,-0.398,-0.534,0.667,,,,
#011647,-0.184,-0.204,0.278,,,,
#005f29,0.209,-0.308,0.373,,,,
#004eab,-0.362,-0.565,0.671,,,,
#005e1f,0.238,-0.282,0.369,,,,
#014eab,-0.361,-0.56,0.671,,,,
#d19e0a,0.548,0.555,0.82,,,,
#cf9a0f,0.518,0.547,0.812,,,,
#0043aa,-0.395,-0.537,0.667,,,,
#005520,0.203,-0.265,0.333,,,,
#0044a6,-0.377,-0.53,0.651,,,,
#015c2e,0.18,-0.308,0.361,,,,
#007c38,0.264,-0.408,0.486,,,,
#0047b3,-0.415,-0.566,0.702,,,,
#0147ab,-0.385,-0.544,0.671,,,,
#003d0d,0.176,-0.162,0.239,,,,
#006321,0.25,-0.297,0.388,,,,
#0046aa,-0.385,-0.544,0.667,,,,
#3f370f,0.144,0.121,0.247,,,,
#01622f,0.199,-0.324,0.384,,,,
#003c13,0.154,-0.178,0.235,,,,
#003e8f,-0.313,-0.465,0.561,,,,
#016a27,0.255,-0.323,0.416,,,,
#026a27,0.255,-0.318,0.416,,,,
#33b780,0.219,-0.469,0.718,,,,
#30b77e,0.227,-0.479,0.718,,,,
#005a1d,0.23,-0.268,0.353,,,,
#124726,0.126,-0.165,0.278,,,,
#0047ae,-0.396,-0.555,0.682,,,,
#003a85,-0.29,-0.433,0.522,,,,
#00712e,0.258,-0.36,0.443,,,,
#017132,0.244,-0.365,0.443,,,,
#063718,0.118,-0.152,0.216,,,,
#053714,0.131,-0.146,0.216,,,,
#023788,-0.311,-0.424,0.533,,,,
#013792,-0.347,-0.45,0.573,,,,
#003796,-0.362,-0.464,0.588,,,,
#00783c,0.235,-0.408,0.471,,,,
#edb611,0.61,0.61,0.929,,,,
#ebb600,0.668,0.635,0.922,,,,
#e9b601,0.663,0.623,0.914,,,,
#e7b603,0.655,0.609,0.906,,,,
#e5b617,0.584,0.558,0.898,,,,
#e2b60c,0.62,0.565,0.886,,,,
#e1b617,0.581,0.538,0.882,,,,
#e0b61a,0.57,0.527,0.878,,,,
#dfb60c,0.618,0.55,0.875,,,,
#003888,-0.308,-0.435,0.533,,,,
#00397d,-0.264,-0.413,0.49,,,,
#db3621,0.086,0.724,0.859,,,,
#00571b,0.226,-0.256,0.341,,,,
#d1361e,0.098,0.695,0.82,,,,
#d0361d,0.102,0.694,0.816,,,,
#01571f,0.213,-0.262,0.341,,,,
#e0b725,0.535,0.502,0.878,,,,
#004eae,-0.373,-0.572,0.682,,,,
#bf3619,0.118,0.64,0.749,,,,
#014eb2,-0.387,-0.576,0.698,,,,
#034eaa,-0.357,-0.549,0.667,,,,
#e7b601,0.662,0.613,0.906,,,,
#e2b621,0.547,0.523,0.886,,,,
#007937,0.257,-0.399,0.475,,,,
#007631,0.266,-0.379,0.463,,,,
#007538,0.238,-0.392,0.459,,,,
#003886,-0.301,-0.431,0.525,,,,
#00144e,-0.215,-0.218,0.306,,,,
#003483,-0.303,-0.415,0.514,,,,
#01531d,0.205,-0.248,0.325,,,,
#003b93,-0.338,-0.467,0.576,,,,
#e0ae0c,0.597,0.579,0.878,,,,
#005315,0.229,-0.231,0.325,,,,
#3d360e,0.143,0.116,0.239,,,,
#002263,-0.246,-0.3,0.388,,,,
#e2b609,0.631,0.571,0.886,,,,
#26b67e,0.224,-0.519,0.714,,,,
#01551c,0.215,-0.25,0.333,,,,
#005524,0.189,-0.274,0.333,,,,
#9c1301,0.074,0.603,0.612,,,,
#00317e,-0.295,-0.396,0.494,,,,
#063618,0.115,-0.149,0.212,,,,
#023698,-0.372,-0.456,0.596,,,,
#01369e,-0.394,-0.473,0.62,,,,
#0050b2,-0.381,-0.585,0.698,,,,
#01702a,0.267,-0.344,0.439,,,,
#003080,-0.306,-0.398,0.502,,,,
#eeb500,0.667,0.653,0.933,,,,
#edb500,0.667,0.648,0.929,,,,
#e9b505,0.647,0.618,0.914,,,,
#e7b500,0.663,0.618,0.906,,,,
#e6b501,0.659,0.611,0.902,,,,
#bd2107,0.106,0.706,0.741,,,,
#e4b50e,0.612,0.574,0.894,,,,
#e33513,0.139,0.804,0.89,,,,
#e2b529,0.517,0.509,0.886,,,,
#e13524,0.07,0.738,0.882,,,,
#0051b2,-0.377,-0.587,0.698,,,,
#085126,0.166,-0.234,0.318,,,,
#00479c,-0.33,-0.515,0.612,,,,
#d9351f,0.09,0.724,0.851,,,,
#d3351d,0.098,0.707,0.827,,,,
#d2351d,0.098,0.703,0.824,,,,
#d1351c,0.102,0.702,0.82,,,,
#d0351b,0.106,0.702,0.816,,,,
#006f32,0.237,-0.365,0.435,,,,
#e3af06,0.622,0.603,0.89,,,,
#c23516,0.127,0.663,0.761,,,,
#006e2b,0.257,-0.347,0.431,,,,
#dbaf12,0.575,0.539,0.859,,,,
#deaf12,0.577,0.554,0.871,,,,
#ddaf06,0.618,0.573,0.867,,,,
#dcaf06,0.618,0.568,0.863,,,,
#007332,0.252,-0.374,0.451,,,,
#e1ad0e,0.587,0.583,0.882,,,,
#0d542a,0.162,-0.227,0.329,,,,
#0054b6,-0.381,-0.603,0.714,,,,
#0e542a,0.161,-0.222,0.329,,,,
#015c2b,0.191,-0.302,0.361,,,,
#025c2b,0.191,-0.297,0.361,,,,
#dfad0e,0.586,0.573,0.875,,,,
#035c2f,0.176,-0.301,0.361,,,,
#daad06,0.611,0.564,0.855,,,,
#ddad0a,0.599,0.571,0.867,,,,
#055c2f,0.176,-0.292,0.361,,,,
#dcad02,0.626,0.582,0.863,,,,
#dbab0e,0.578,0.559,0.859,,,,
#006c34,0.219,-0.363,0.424,,,,
#d7ad02,0.622,0.557,0.843,,,,
#d8ab12,0.562,0.536,0.847,,,,
#004ba6,-0.354,-0.547,0.651,,,,
#00174b,-0.195,-0.22,0.294,,,,
#dfab0a,0.594,0.587,0.875,,,,
#ccad0e,0.573,0.477,0.8,,,,
#dcab06,0.606,0.58,0.863,,,,
#01328b,-0.338,-0.422,0.545,,,,
#003287,-0.324,-0.418,0.529,,,,
#3c350d,0.143,0.116,0.235,,,,
#30b57e,0.219,-0.473,0.71,,,,
#d4a702,0.604,0.56,0.831,,,,
#d6ab0e,0.575,0.534,0.839,,,,
#003997,-0.359,-0.471,0.592,,,,
#c58f0c,0.49,0.535,0.773,,,,
#063518,0.111,-0.147,0.208,,,,
#03356c,-0.215,-0.351,0.424,,,,
#01359d,-0.393,-0.469,0.616,,,,
#003593,-0.358,-0.452,0.576,,,,
#00286d,-0.263,-0.337,0.427,,,,
#ecb401,0.66,0.644,0.925,,,,
#e8b400,0.661,0.626,0.91,,,,
#e7b400,0.66,0.621,0.906,,,,
#e6b400,0.659,0.616,0.902,,,,
#e5b401,0.655,0.609,0.898,,,,
#e4b401,0.654,0.604,0.894,,,,
#e3340f,0.151,0.818,0.89,,,,
#e2341b,0.102,0.774,0.886,,,,
#e1b414,0.586,0.55,0.882,,,,
#00672b,0.231,-0.331,0.404,,,,
#dfb414,0.585,0.54,0.875,,,,
#002859,-0.19,-0.293,0.349,,,,
#02632f,0.203,-0.322,0.388,,,,
#004f14,0.218,-0.22,0.31,,,,
#daa602,0.605,0.593,0.855,,,,
#001f5f,-0.242,-0.284,0.373,,,,
#d9a602,0.604,0.588,0.851,,,,
#066333,0.188,-0.313,0.388,,,,
#d2341c,0.098,0.707,0.824,,,,
#d13419,0.11,0.713,0.82,,,,
#cf341b,0.102,0.698,0.812,,,,
#cb341a,0.106,0.686,0.796,,,,
#d6a602,0.602,0.573,0.839,,,,
#f0b701,0.671,0.655,0.941,,,,
#026727,0.244,-0.312,0.404,,,,
#00772c,0.286,-0.369,0.467,,,,
#00286b,-0.256,-0.333,0.42,,,,
#d9a702,0.607,0.585,0.851,,,,
#dca70e,0.567,0.576,0.863,,,,
#d3a70e,0.561,0.531,0.827,,,,
#d5a702,0.604,0.565,0.835,,,,
#e0a602,0.608,0.623,0.878,,,,
#dda406,0.587,0.606,0.867,,,,
#d8a402,0.598,0.589,0.847,,,,
#00652c,0.221,-0.329,0.396,,,,
#d2a402,0.594,0.559,0.824,,,,
#d1a406,0.579,0.546,0.82,,,,
#003572,-0.238,-0.379,0.447,,,,
#002861,-0.22,-0.311,0.38,,,,
#dba506,0.588,0.593,0.859,,,,
#daa50a,0.574,0.58,0.855,,,,
#008436,0.3,-0.422,0.518,,,,
#002468,-0.258,-0.316,0.408,,,,
#d2a50e,0.555,0.532,0.824,,,,
#d5a502,0.599,0.571,0.835,,,,
#00235d,-0.222,-0.29,0.365,,,,
#013f9f,-0.368,-0.498,0.624,,,,
#013b8f,-0.323,-0.453,0.561,,,,
#003f9f,-0.368,-0.503,0.624,,,,
#003b9f,-0.382,-0.493,0.624,,,,
#c6a50a,0.56,0.479,0.776,,,,
#016a24,0.265,-0.315,0.416,,,,
#005323,0.185,-0.268,0.325,,,,
#006a24,0.265,-0.32,0.416,,,,
#3c340c,0.144,0.121,0.235,,,,
#3b3409,0.154,0.122,0.231,,,,
#3a340c,0.142,0.111,0.227,,,,
#37b47f,0.211,-0.443,0.706,,,,
#2fb479,0.234,-0.466,0.706,,,,
#22b47b,0.228,-0.525,0.706,,,,
#1fb479,0.235,-0.535,0.706,,,,
#002976,-0.292,-0.359,0.463,,,,
#002162,-0.246,-0.295,0.384,,,,
#06346f,-0.229,-0.343,0.435,,,,
#03346a,-0.211,-0.345,0.416,,,,
#023497,-0.375,-0.448,0.592,,,,
#01348f,-0.346,-0.436,0.561,,,,
#00349b,-0.39,-0.467,0.608,,,,
#00a04c,0.328,-0.535,0.627,,,,
#022048,-0.155,-0.227,0.282,,,,
#d2a40f,0.549,0.533,0.824,,,,
#d1a40b,0.562,0.536,0.82,,,,
#ebb303,0.649,0.637,0.922,,,,
#d5a407,0.578,0.564,0.835,,,,
#e8b302,0.651,0.625,0.91,,,,
#e7b301,0.654,0.622,0.906,,,,
#e6b30d,0.611,0.592,0.902,,,,
#e5b303,0.645,0.608,0.898,,,,
#e4b307,0.631,0.594,0.894,,,,
#e3b30b,0.616,0.581,0.89,,,,
#e2b30a,0.619,0.578,0.886,,,,
#e1b31a,0.563,0.541,0.882,,,,
#0061c6,-0.395,-0.668,0.776,,,,
#deb308,0.623,0.562,0.871,,,,
#00672a,0.235,-0.329,0.404,,,,
#db331a,0.102,0.75,0.859,,,,
#daae0a,0.6,0.553,0.855,,,,
#ddae02,0.629,0.584,0.867,,,,
#dcae02,0.629,0.579,0.863,,,,
#d1331c,0.094,0.704,0.82,,,,
#ce3318,0.11,0.705,0.808,,,,
#ca331e,0.086,0.669,0.792,,,,
#0162ce,-0.421,-0.685,0.808,,,,
#bf331c,0.094,0.632,0.749,,,,
#016e30,0.24,-0.354,0.431,,,,
#006e2c,0.254,-0.349,0.431,,,,
#026e28,0.266,-0.33,0.431,,,,
#d39f0b,0.549,0.56,0.827,,,,
#d49f07,0.563,0.574,0.831,,,,
#e2ae02,0.633,0.609,0.886,,,,
#f0bd01,0.688,0.637,0.941,,,,
#00632a,0.22,-0.32,0.388,,,,
#01712e,0.257,-0.356,0.443,,,,
#02713a,0.216,-0.378,0.443,,,,
#dbac06,0.609,0.572,0.859,,,,
#017537,0.242,-0.385,0.459,,,,
#daac02,0.622,0.575,0.855,,,,
#ddac02,0.624,0.59,0.867,,,,
#dcac02,0.623,0.585,0.863,,,,
#e4bd29,0.541,0.496,0.894,,,,
#d6ac02,0.619,0.555,0.839,,,,
#d5ac06,0.604,0.542,0.835,,,,
#00a45a,0.293,-0.573,0.643,,,,
#001d4d,-0.183,-0.24,0.302,,,,
#005e27,0.212,-0.302,0.369,,,,
#cbac0e,0.569,0.475,0.796,,,,
#007c35,0.274,-0.401,0.486,,,,
#e0ac02,0.626,0.605,0.878,,,,
#0143a4,-0.373,-0.519,0.643,,,,
#0043a8,-0.388,-0.533,0.659,,,,
#002b66,-0.228,-0.329,0.4,,,,
#0243a8,-0.387,-0.523,0.659,,,,
#004aaa,-0.372,-0.553,0.667,,,,
#3e330a,0.15,0.138,0.243,,,,
#014aae,-0.386,-0.558,0.682,,,,
#39330c,0.139,0.109,0.224,,,,
#33b37a,0.226,-0.448,0.702,,,,
#dea906,0.602,0.596,0.871,,,,
#2db37f,0.208,-0.483,0.702,,,,
#d09b0b,0.535,0.557,0.816,,,,
#002d7c,-0.301,-0.382,0.486,,,,
#0051af,-0.366,-0.581,0.686,,,,
#ca9b03,0.56,0.544,0.792,,,,
#d7a912,0.556,0.537,0.843,,,,
#003994,-0.348,-0.464,0.58,,,,
#063376,-0.257,-0.356,0.463,,,,
#023366,-0.2,-0.338,0.4,,,,
#00338e,-0.346,-0.436,0.557,,,,
#055127,0.163,-0.25,0.318,,,,
#0158bd,-0.393,-0.624,0.741,,,,
#0058c1,-0.408,-0.637,0.757,,,,
#ebb206,0.636,0.634,0.922,,,,
#eab201,0.653,0.64,0.918,,,,
#e9b202,0.648,0.633,0.914,,,,
#e8b203,0.644,0.626,0.91,,,,
#e7b208,0.626,0.61,0.906,,,,
#e6b202,0.647,0.618,0.902,,,,
#e4b203,0.642,0.606,0.894,,,,
#e3320f,0.143,0.819,0.89,,,,
#e2b200,0.651,0.602,0.886,,,,
#e1b20a,0.615,0.576,0.882,,,,
#002769,-0.252,-0.326,0.412,,,,
#deb20d,0.603,0.555,0.871,,,,
#003393,-0.364,-0.447,0.576,,,,
#dcb20b,0.609,0.549,0.863,,,,
#dab203,0.635,0.555,0.855,,,,
#b72008,0.098,0.679,0.718,,,,
#007735,0.256,-0.39,0.467,,,,
#ce321a,0.098,0.699,0.808,,,,
#ca321a,0.098,0.683,0.792,,,,
#c6321c,0.09,0.661,0.776,,,,
#be2004,0.115,0.72,0.745,,,,
#002670,-0.28,-0.338,0.439,,,,
#ba2004,0.114,0.704,0.729,,,,
#d99d02,0.578,0.614,0.851,,,,
#001645,-0.177,-0.205,0.271,,,,
#b82004,0.114,0.697,0.722,,,,
#00671f,0.27,-0.3,0.404,,,,
#db2000,0.131,0.849,0.859,,,,
#e9b501,0.661,0.626,0.914,,,,
#e7b505,0.645,0.608,0.906,,,,
#b52207,0.11,0.673,0.71,,,,
#ac2008,0.098,0.636,0.675,,,,
#003489,-0.325,-0.428,0.537,,,,
#015e2e,0.188,-0.313,0.369,,,,
#002567,-0.251,-0.316,0.404,,,,
#00561a,0.225,-0.251,0.337,,,,
#d22000,0.131,0.813,0.824,,,,
#d12000,0.131,0.809,0.82,,,,
#b22207,0.11,0.661,0.698,,,,
#d42000,0.131,0.821,0.831,,,,
#e1b409,0.625,0.572,0.882,,,,
#be2207,0.11,0.709,0.745,,,,
#b0220b,0.094,0.64,0.69,,,,
#006736,0.193,-0.355,0.404,,,,
#cb2000,0.131,0.785,0.796,,,,
#cd2000,0.131,0.793,0.804,,,,
#00338b,-0.335,-0.43,0.545,,,,
#ce2000,0.131,0.797,0.808,,,,
#c02008,0.098,0.715,0.753,,,,
#c52004,0.115,0.748,0.773,,,,
#c62000,0.131,0.765,0.776,,,,
#c72000,0.131,0.769,0.78,,,,
#00235a,-0.211,-0.283,0.353,,,,
#dbac0d,0.584,0.558,0.859,,,,
#dfaa0a,0.591,0.59,0.875,,,,
#c7930b,0.507,0.536,0.78,,,,
#013296,-0.378,-0.446,0.588,,,,
#00328a,-0.335,-0.425,0.541,,,,
#001011,-0.004,-0.067,0.067,,,,
#d9ac05,0.611,0.564,0.851,,,,
#94710e,0.367,0.376,0.58,,,,
#e9b100,0.653,0.64,0.914,,,,
#e8b101,0.648,0.633,0.91,,,,
#e7b100,0.651,0.63,0.906,,,,
#e6b100,0.651,0.625,0.902,,,,
#e5b100,0.65,0.62,0.898,,,,
#e4b100,0.649,0.615,0.894,,,,
#e3b100,0.649,0.61,0.89,,,,
#e2b102,0.641,0.6,0.886,,,,
#e1b100,0.647,0.6,0.882,,,,
#007132,0.244,-0.37,0.443,,,,
#df310f,0.139,0.804,0.875,,,,
#deb108,0.618,0.568,0.871,,,,
#001b53,-0.211,-0.248,0.325,,,,
#006332,0.192,-0.337,0.388,,,,
#e4b208,0.624,0.595,0.894,,,,
#158b4b,0.249,-0.39,0.545,,,,
#ae220b,0.094,0.632,0.682,,,,
#dbae07,0.611,0.564,0.859,,,,
#d03111,0.131,0.738,0.816,,,,
#cf3116,0.11,0.717,0.812,,,,
#ce3119,0.098,0.703,0.808,,,,
#cd3116,0.11,0.709,0.804,,,,
#d39e03,0.574,0.58,0.827,,,,
#c83119,0.098,0.679,0.784,,,,
#d49e03,0.574,0.585,0.831,,,,
#d9ae07,0.609,0.554,0.851,,,,
#00923b,0.335,-0.465,0.573,,,,
#deae03,0.627,0.587,0.871,,,,
#dfae0b,0.599,0.576,0.875,,,,
#cf9e03,0.571,0.56,0.812,,,,
#006e33,0.23,-0.365,0.431,,,,
#cc9e0f,0.528,0.52,0.8,,,,
#b63114,0.118,0.624,0.714,,,,
#dcae03,0.625,0.577,0.863,,,,
#ddae07,0.612,0.574,0.867,,,,
#e3b208,0.624,0.59,0.89,,,,
#002164,-0.253,-0.3,0.392,,,,
#00459b,-0.334,-0.508,0.608,,,,
#001d57,-0.219,-0.261,0.341,,,,
#d4a50f,0.553,0.54,0.831,,,,
#edbc01,0.683,0.625,0.929,,,,
#006f26,0.277,-0.336,0.435,,,,
#003b90,-0.327,-0.46,0.565,,,,
#004c18,0.196,-0.225,0.298,,,,
#c99a0f,0.514,0.517,0.788,,,,
#ce9a0b,0.531,0.55,0.808,,,,
#36310b,0.135,0.101,0.212,,,,
#006a33,0.215,-0.356,0.416,,,,
#cc2f18,0.094,0.7,0.8,,,,
#b22108,0.102,0.659,0.698,,,,
#b32104,0.118,0.676,0.702,,,,
#f8cd23,0.62,0.56,0.973,,,,
#009747,0.312,-0.503,0.592,,,,
#bd2104,0.119,0.716,0.741,,,,
#002a6e,-0.26,-0.344,0.431,,,,
#00296d,-0.26,-0.339,0.427,,,,
#1ab171,0.254,-0.535,0.694,,,,
#001945,-0.168,-0.212,0.271,,,,
#ba2104,0.119,0.704,0.729,,,,
#b92104,0.119,0.7,0.725,,,,
#093166,-0.205,-0.302,0.4,,,,
#c38b0a,0.484,0.541,0.765,,,,
#03315f,-0.18,-0.312,0.373,,,,
#013197,-0.384,-0.445,0.592,,,,
#00318a,-0.338,-0.422,0.541,,,,
#01a862,0.278,-0.593,0.659,,,,
#00a85e,0.293,-0.59,0.659,,,,
#a62108,0.102,0.611,0.651,,,,
#e8b000,0.649,0.637,0.91,,,,
#e7b000,0.648,0.633,0.906,,,,
#e6b00a,0.613,0.607,0.902,,,,
#e5b000,0.647,0.623,0.898,,,,
#e4b000,0.647,0.618,0.894,,,,
#e3300c,0.147,0.83,0.89,,,,
#e2b000,0.645,0.608,0.886,,,,
#e1b000,0.645,0.603,0.882,,,,
#e0b000,0.644,0.597,0.878,,,,
#dfb01b,0.549,0.538,0.875,,,,
#a3210c,0.086,0.586,0.639,,,,
#003f9c,-0.358,-0.496,0.612,,,,
#dcb000,0.641,0.577,0.863,,,,
#dbb007,0.616,0.558,0.859,,,,
#991b07,0.082,0.567,0.6,,,,
#d4b00c,0.594,0.512,0.831,,,,
#d3b00a,0.6,0.511,0.827,,,,
#d2b00a,0.599,0.506,0.824,,,,
#cd3011,0.127,0.726,0.804,,,,
#ca3014,0.114,0.704,0.792,,,,
#c83011,0.127,0.706,0.784,,,,
#c53018,0.098,0.671,0.773,,,,
#013e9b,-0.357,-0.487,0.608,,,,
#001742,-0.163,-0.201,0.259,,,,
#003e9b,-0.357,-0.492,0.608,,,,
#d2a603,0.596,0.551,0.824,,,,
#d7a603,0.599,0.576,0.843,,,,
#d6a607,0.585,0.563,0.839,,,,
#d5a60b,0.57,0.55,0.835,,,,
#00265e,-0.215,-0.299,0.369,,,,
#00377a,-0.26,-0.401,0.478,,,,
#002d7f,-0.312,-0.388,0.498,,,,
#bf840e,0.446,0.532,0.749,,,,
#3ebc89,0.203,-0.45,0.737,,,,
#001447,-0.19,-0.203,0.278,,,,
#004c11,0.216,-0.205,0.298,,,,
#0044b2,-0.421,-0.557,0.698,,,,
#008d3e,0.306,-0.46,0.553,,,,
#001b4e,-0.193,-0.237,0.306,,,,
#00449b,-0.337,-0.506,0.608,,,,
#37300b,0.133,0.11,0.216,,,,
#35300d,0.124,0.095,0.208,,,,
#2cb07a,0.215,-0.471,0.69,,,,
#2bb073,0.241,-0.463,0.69,,,,
#e2ae03,0.629,0.607,0.886,,,,
#21b070,0.253,-0.5,0.69,,,,
#008f3a,0.327,-0.456,0.561,,,,
#d22100,0.135,0.812,0.824,,,,
#d32100,0.135,0.816,0.827,,,,
#d12100,0.135,0.808,0.82,,,,
#01309a,-0.398,-0.449,0.604,,,,
#00308e,-0.356,-0.428,0.557,,,,
#018037,0.282,-0.411,0.502,,,,
#008031,0.302,-0.401,0.502,,,,
#daab02,0.619,0.578,0.855,,,,
#d9ab02,0.618,0.573,0.851,,,,
#008035,0.289,-0.41,0.502,,,,
#dcab02,0.62,0.588,0.863,,,,
#e7af02,0.639,0.631,0.906,,,,
#e6af00,0.645,0.63,0.902,,,,
#e5af0e,0.595,0.597,0.898,,,,
#e4af00,0.644,0.621,0.894,,,,
#e32f0a,0.151,0.837,0.89,,,,
#e2af00,0.642,0.611,0.886,,,,
#e1af01,0.638,0.603,0.882,,,,
#000f18,-0.036,-0.087,0.094,,,,
#dfaf02,0.634,0.591,0.875,,,,
#deaf00,0.64,0.59,0.871,,,,
#ddaf00,0.639,0.585,0.867,,,,
#dcaf09,0.607,0.562,0.863,,,,
#dbaf00,0.638,0.575,0.859,,,,
#d7af0c,0.593,0.531,0.843,,,,
#be820e,0.439,0.532,0.745,,,,
#d3af09,0.601,0.516,0.827,,,,
#d2af0a,0.596,0.509,0.824,,,,
#d02f14,0.11,0.729,0.816,,,,
#d6ab02,0.616,0.558,0.839,,,,
#cdaf08,0.599,0.488,0.804,,,,
#ccaf0b,0.588,0.476,0.8,,,,
#cb2f1b,0.082,0.685,0.796,,,,
#ca2f17,0.098,0.695,0.792,,,,
#c92f14,0.11,0.701,0.788,,,,
#0082de,-0.366,-0.79,0.871,,,,
#bf2f19,0.09,0.645,0.749,,,,
#006228,0.223,-0.313,0.384,,,,
#c68e0a,0.495,0.547,0.776,,,,
#008336,0.297,-0.419,0.514,,,,
#007e37,0.275,-0.411,0.494,,,,
